Carimbo de data/hora,Qual é o seu nível de satisfação com o ônibus que vai à sua faculdade?,"Em média, quantos dias por semana você utiliza o transporte universitário?",Qual é o nível de conforto do ônibus que você utiliza para ir à faculdade?,O ônibus sempre cumpre os horários de saída estabelecidos?,Você acha que seria mais tranquilizante ter a localização atual do ônibus em seu dispositivo móvel em dias facultativos?,Como é a relação com o(s) representante(s) do ônibus? (Caso exista),O motorista desempenha bem a sua função?
13/04/2024 10:12:02,Bom,5 dias (todos os dias da semana),Confortável,Geralmente cumpre,Sim,Não tenho representante no ônibus,Excelente
13/04/2024 10:47:07,Ótimo,5 dias (todos os dias da semana),Confortável,Sempre cumpre,Sim,Ótima,Excelente
13/04/2024 12:31:56,Ótimo,5 dias (todos os dias da semana),Muito confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 12:34:00,Regular,5 dias (todos os dias da semana),Confortável,Às vezes cumpre,Sim,Neutra,Regular
13/04/2024 12:39:31,Bom,4 dias,Confortável,Geralmente cumpre,Sim,Neutra,Bom
13/04/2024 12:49:48,Bom,5 dias (todos os dias da semana),Neutro,Geralmente cumpre,Sim,Não tenho representante no ônibus,Bom
13/04/2024 12:49:52,Bom,5 dias (todos os dias da semana),Confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 12:52:43,Regular,5 dias (todos os dias da semana),Neutro,Geralmente cumpre,Sim,Neutra,Bom
13/04/2024 12:59:59,Ótimo,5 dias (todos os dias da semana),Muito confortável,Às vezes cumpre,Não,Boa,Excelente
13/04/2024 13:00:05,Bom,3 dias,Confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 13:00:32,Bom,5 dias (todos os dias da semana),Muito confortável,Geralmente cumpre,Sim,Não tenho representante no ônibus,Bom
13/04/2024 13:01:08,Bom,3 dias,Muito confortável,Sempre cumpre,Sim,Neutra,Excelente
13/04/2024 13:02:34,Ótimo,5 dias (todos os dias da semana),Muito confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 13:02:39,Ótimo,5 dias (todos os dias da semana),Muito confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 13:04:39,Ótimo,5 dias (todos os dias da semana),Confortável,Sempre cumpre,Não,Ótima,Excelente
13/04/2024 13:05:16,Regular,5 dias (todos os dias da semana),Confortável,Geralmente cumpre,Sim,Ruim,Regular
13/04/2024 13:06:18,Bom,5 dias (todos os dias da semana),Neutro,Geralmente cumpre,Sim,Não tenho representante no ônibus,Regular
13/04/2024 13:07:14,Bom,5 dias (todos os dias da semana),Confortável,Geralmente cumpre,Sim,Neutra,Bom
13/04/2024 13:13:16,Bom,5 dias (todos os dias da semana),Neutro,Geralmente cumpre,Não,Boa,Excelente
13/04/2024 13:13:40,Ruim,5 dias (todos os dias da semana),Neutro,Nunca cumpre,Sim,Neutra,Bom
13/04/2024 13:17:51,Bom,5 dias (todos os dias da semana),Muito confortável,Sempre cumpre,Sim,Neutra,Excelente
13/04/2024 13:18:51,Ótimo,5 dias (todos os dias da semana),Muito confortável,Geralmente cumpre,Sim,Boa,Excelente
13/04/2024 13:24:22,Ótimo,5 dias (todos os dias da semana),Muito confortável,Geralmente cumpre,Sim,Ótima,Excelente
13/04/2024 13:27:25,Bom,4 dias,Confortável,Sempre cumpre,Não,Boa,Excelente
13/04/2024 13:33:15,Bom,3 dias,Confortável,Geralmente cumpre,Sim,Boa,Excelente
13/04/2024 13:35:38,Ótimo,5 dias (todos os dias da semana),Muito confortável,Sempre cumpre,Sim,Ótima,Excelente
13/04/2024 13:36:01,Bom,2 dias,Confortável,Sempre cumpre,Sim,Ótima,Excelente
13/04/2024 13:38:21,Bom,4 dias,Confortável,Geralmente cumpre,Sim,Neutra,Bom
13/04/2024 13:39:16,Bom,4 dias,Confortável,Raramente cumpre,Sim,Ótima,Excelente
13/04/2024 13:39:56,Bom,5 dias (todos os dias da semana),Confortável,Geralmente cumpre,Sim,Boa,Bom
13/04/2024 13:40:42,Bom,5 dias (todos os dias da semana),Confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 13:44:07,Bom,4 dias,Confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 13:46:03,Ótimo,4 dias,Muito confortável,Sempre cumpre,Sim,Ótima,Excelente
13/04/2024 14:01:35,Ruim,4 dias,Desconfortável,Geralmente cumpre,Sim,Neutra,Regular
13/04/2024 14:02:02,Ótimo,5 dias (todos os dias da semana),Muito confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 14:02:47,Bom,4 dias,Confortável,Sempre cumpre,Sim,Ótima,Excelente
13/04/2024 14:16:55,Ótimo,3 dias,Confortável,Sempre cumpre,Sim,Ótima,Excelente
13/04/2024 14:28:02,Bom,4 dias,Confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 14:46:28,Ótimo,5 dias (todos os dias da semana),Muito confortável,Geralmente cumpre,Sim,Neutra,Bom
13/04/2024 16:00:04,Regular,5 dias (todos os dias da semana),Confortável,Raramente cumpre,Sim,Não tenho representante no ônibus,Bom
13/04/2024 16:04:00,Ótimo,3 dias,Muito confortável,Sempre cumpre,Sim,Boa,Excelente
13/04/2024 17:58:13,Ótimo,5 dias (todos os dias da semana),Muito confortável,Geralmente cumpre,Não,Ótima,Regular